"Short Key",Nombre,MAC,IP,Estado,Plaza,Grupo,Agent,PVSI,"PVSI Fecha","PVSI Hora",AgentResurtido,"Resurtido Fecha",Windows,Arquitectura,"RAM (GB)","Disco (GB)",BitLocker,"Download Path","Última Actividad"
00099,00099-PVSI,E0:73:E7:0F:F1:08,187.223.248.198,online,BAJAC,"BAJA CALIFORNIA",3.67,"26.0.2_06.21 DBXW",26-06-2026,18:02:01,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,8,931,,"D:\PVSI","2026-06-26 07:38:50"
PR1MY,1DEMAYO,PENDING-DEL-40800,189.150.154.210,online,TAPAC,TAPACHULA,3.67,"26.0.2_06.18 DBXW",26-06-2026,19:01:25,,,"Microsoft Windows 10 Pro",x86,3,931,,"D:\PVSI","2026-06-26 07:39:16"
20NOV,20NOV,AUTO-REC-35,201.105.12.151,offline,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,17:56:28,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Enterprise LTSC",x64,8,931,,"D:\PV","2026-06-25 21:00:35"
20NO2,20NOV2,AUTO-REC-39,201.105.29.84,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,07:32:53,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Enterprise LTSC",x64,8,931,,"D:\PVSI","2026-06-26 07:38:52"
5FEBR,5DEFEBRERO,AUTO-REC-11747,189.148.18.24,online,TAPAC,TAPACHULA,3.67,"26.0.2_06.18 DBXW",26-06-2026,19:03:39,,,"Microsoft Windows 10 Pro",x86,3,931,,"D:\PVSI","2026-06-26 07:39:14"
00032,5DEFEBRERO-PVSI,AUTO-REC-35511,187.223.91.98,online,BAJAC,"BAJA CALIFORNIA",3.67,"26.0.2_06.21 DBXW",26-06-2026,17:50:39,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,8,910,,"D:\PVSI","2026-06-26 07:38:54"
TABAS,ABASOLO,AUTO-REC-11748,189.148.8.59,online,TAPAC,TAPACHULA,3.67,"26.0.2_06.18 DBXW",26-06-2026,17:38:54,,,"Microsoft Windows 10 Pro N",x64,4,953,,"D:\PVSI","2026-06-26 07:39:11"
00026,ABASOLO-PVSI,AUTO-REC-11646,187.223.131.23,online,BAJAC,"BAJA CALIFORNIA",3.67,"26.0.2_06.21 DBXW",25-06-2026,08:08:58,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,455,,"D:\PVSI","2026-06-26 07:39:09"
MEVAB,ADRIAN,AUTO-REC-95,189.240.198.30,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.21 DBXW",25-06-2026,13:31:43,,,"Microsoft Windows 10 Home Single Language",x64,4,931,,"D:\MEVAB","2026-06-26 07:39:16"
HAGUA,AGUAPRIETA,AUTO-REC-101,189.151.99.31,online,HERMO,HERMOSILLO,3.67,"26.0.2_06.21 DBXW",26-06-2026,17:56:49,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,476,,"D:\PVSI","2026-06-26 07:39:05"
